18,372,594.38
15,741,086.19
9,381,089.88
4,030,867.78
3,594,998.25
3,532,271.51
3,357,704.09
3,272,063.21
3,046,474.14
1,945,375.56
1,883,839.00
1,485,160.00
1,001,462.66
1,000,000.00
962,712.04
939,494.59
743,511.20
734,914.70
705,720.52
629,747.11
621,242.49
569,790.43
556,153.73
549,601.76
499,069.10
483,200.59
477,481.79
473,375.05
471,418.47
440,667.39
405,328.00
400,000.00
400,000.00
397,961.92
366,401.17
366,401.17
365,527.52
350,675.38
345,952.67
324,535.79
256,903.08
256,480.82
216,336.00
216,299.59
200,388.48
196,165.53
193,364.55
183,200.59
183,200.59
183,200.59
183,200.59
183,200.59
183,200.59
183,200.59
182,423.72
182,415.37
181,343.47
171,247.68
122,346.13
120,684.76
111,620.90
107,632.21
101,042.39
100,000.00
98,753.08
92,567.11
92,396.82
86,660.00
81,761.37
81,332.00
76,290.87
74,873.28
71,545.53
70,853.62
69,390.53
67,201.43
66,512.02
58,211.46
56,393.92
54,477.42
49,268.60
47,084.24
43,118.34
42,464.91
42,243.70
39,558.58
34,098.56
33,137.08
33,000.00
32,211.96
31,385.00
30,015.72
28,109.98
27,762.24
27,038.43
26,222.90
25,578.00
23,115.93
19,765.24
18,572.62
18,000.00
17,367.42
16,840.28
15,771.18
14,674.92
11,340.47
11,210.38
10,435.84
10,151.04
9,854.64
9,688.35
9,600.00
8,850.18
8,044.90
7,727.92
7,727.30
7,398.38
6,918.93
6,816.46
6,495.07
6,069.04
5,422.51
5,158.51
4,741.71
4,477.48
4,349.02
3,999.48
3,996.00
3,961.12
3,646.80
3,590.29
3,523.17
3,457.17
3,164.35
2,584.56
2,580.74
2,091.35
2,070.96
1,963.80
1,872.34
1,665.00
1,665.00
1,449.67
1,449.67
1,433.74
1,332.00
1,225.92
5,050.69
1,025.13
1,016.68
804.64
666.00
621.29
564.13
461.67
345.50
342.95
333.43
333.00
301.20
180.74
155.20
136.21
136.01
111.83
111.83
95.28
58.87
38.92
16.22
12.74
6.66
5.23
4.00
23,08
3.26
3.19
3.19
2.74
2.61
0.68
0.24
0.24
